"new_ID","ID","Name","Sex","NOC"
104208,103013,"Olavi Antero Rove (Grnfelt-)","M","FIN"
35832,35485,"Ji Fit","M","CZE"
128424,126885,"Veronika Vtkov","F","CZE"
16163,15987,"Gustavo Adolfo Bcaro Ortz","M","GUA"
11620,11495,"Simone Arianne Biles","F","USA"
63388,62689,"Erwin Koppe","M","GER"
87256,86255,"Michael Nikolay","M","GDR"
121600,120152,"Wolfgang Thne","M","GDR"
115801,114430,"Ute Starke (-Kahlenberg)","F","GDR"
122926,121450,"Daniel Touche","M","FRA"
21181,20960,"Choe Jong-Sil","F","PRK"
127049,125523,"Philippe Louis Michel Vatuone","M","FRA"
10579,10467,"Tora Berger (-Tveldal)","F","NOR"
58658,58051,"Richard Rudolf Katzer","M","GER"
121499,120051,"Karl Tore William Thoresson","M","SWE"
122153,120688,"Todor Mikhaylov Todorov","M","BUL"
108896,107630,"Michael Schuler","M","USA"
107538,106296,"Heikki Ilmari Savolainen","M","FIN"
28733,28469,"Gerhard Dietrich","M","GDR"
122154,120689,"Toncho Todorov","M","BUL"
119516,118088,"Tracee Ann Talavera (-Kent)","F","USA"
129991,128424,"Wang Chongsheng","M","CHN"
28080,27817,"Lopold Desmet","M","BEL"
95779,94699,"Roxanne Taillard Pierce (-Mancha)","F","USA"
41560,41158,"Eugenia Golea","F","ROU"
107150,105918,"Srgio Yoshio Sasaki Jnior","M","BRA"
68911,68109,"Lee Sang-Wook","M","KOR"
5424,5381,"Marta Artigas y Masdeu","F","ESP"
74032,73197,"Gnther Mader","M","AUT"
126133,124610,"Cline Henriette van Gerner","F","NED"
97805,96691,"Gabriella Pozzuolo-Marchi","F","ITA"
78794,77900,"Julianne Lyn McNamara (-Zeile)","F","USA"
46850,46388,"Rosa Tatiana Hasbn","F","ESA"
134835,133224,"Lisa Young","F","GBR"
49860,49357,"Ingrid Holkoviov (-Postikov)","F","TCH"
134055,132458,"Galina Yaneva","F","BUL"
103232,102049,"Volker Rohrwick","M","FRG"
62848,62160,"Johan Pietari Hannes Kolehmainen","M","FIN"
67428,66642,"Kaarlo Kustaa Kalle Lappalainen","M","FIN"
59492,58875,"Dagmar Kersten","F","GDR"
98176,97058,"Janez Pristov","M","YUG"
110245,108959,"Seto Car-Wai","F","TPE"
80022,79115,"Linda Joan Metheny (-Mulvihill)","F","USA"
122475,121005,"Anita Tomulevski (-Bjerregrd)","F","NOR"
69628,68823,"Viktor Anatolyevich Leontyev","M","URS"
134392,132791,"Lyubov Ivanovna Yegorova","F","EUN"
44421,43980,"Guo Weiyang","M","CHN"
123027,121549,"Darian Roy Townsend","M","RSA"
70097,69285,"Danell Johan Leyva Gonzalez","M","USA"
36955,36597,"Claudia Fragapane","F","GBR"
119902,118472,"Darif Tanjaoui","M","MAR"
81768,80825,"Sigurd Olsen Moen","M","NOR"
91552,90513,"Jrgen Paeke","M","GDR"
93909,92849,"Istvn Pelle","M","HUN"
53080,52537,"Manami Ishizaka","F","JPN"
72004,71181,"Pedro Lonchibucco","M","ARG"
73080,72250,"Ivan Bernhard Lund","M","AUS"
109014,107743,"Kroly Schupkgel","M","HUN"
22099,21862,"Ian Douglas Clarke","M","AUS"
15298,15131,"Brian Brinkley","M","GBR"
27201,26943,"Bernard Decoux","M","FRA"
37560,37196,"Karlheinz Friedrich","M","GER"
112692,111367,"Ratapong Sirasanont","M","THA"
93575,92517,"John Bartling Pearson, Jr.","M","USA"
127273,125745,"Magdalena Johanna Maria Marleen Veldhuis","F","NED"
38511,38136,"Alfredo Galli","M","ITA"
39452,39069,"Daniel Gaudet","M","CAN"
128421,126882,"Zdenk Vtek","M","CZE"
3453,3423,"Hilda Amezaga Harfuch","F","MEX"
80678,79758,"udmila Milanov","F","TCH"
125593,124074,"Armando Valles Montaez","M","MEX"
100727,99571,"Delphine Regease","F","FRA"
82796,81846,"Ondej Moravec","M","CZE"
66917,66138,"Anne-Marie Lambert (-Rosengren)","F","SWE"
57452,56862,"Yekaterina Illarionovna Kalinchuk (Dyomina-)","F","URS"
83143,82193,"Sara Moro de Faes","F","ESP"
21764,21532,"Rosella Cicognani","F","ITA"
10800,10688,"Jos Bernard","M","LUX"
125643,124124,"Istvn Vmos","M","HUN"
104018,102825,"Flavio Rota","M","SUI"
90533,89509,"John Orozco","M","USA"
125292,123779,"Cristel Vahtra","F","EST"
28750,28485,"Jacqueline Dieudonn (Baillergeau-)","F","FRA"
20305,20096,"Jury Dimitri Chechi","M","ITA"
