new_ID,Game_ID,Event,Medal
1750,35,Athletics Men's 4 x 100 metres Relay,Bronze
1750,36,Athletics Men's 4 x 100 metres Relay,Gold
1756,12,Rowing Men's Coxed Eights,Bronze
1758,36,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1774,35,Sailing Mixed Two Person Keelboat,Silver
1778,21,Boxing Men's Heavyweight,Bronze
1825,1,Shooting Men's Skeet,Bronze
1874,11,Shooting Men's Double Trap,Bronze
1874,1,Shooting Men's Trap,Bronze
1875,20,Shooting Men's Double Trap,Gold
1902,1,"Equestrianism Mixed Jumping, Team",Bronze
1906,11,"Equestrianism Mixed Jumping, Individual",Bronze
1966,25,Hockey Men's Hockey,Gold
2042,21,Shooting Men's Double Trap,Gold
2131,20,Shooting Men's Skeet,Bronze
2153,1,"Equestrianism Mixed Jumping, Team",Bronze
2189,11,Athletics Men's 400 metres Hurdles,Silver
2229,1,Sailing Women's Windsurfer,Gold
2231,37,Basketball Men's Basketball,Silver
2244,27,"Wrestling Men's Flyweight, Freestyle",Silver
2252,32,Hockey Men's Hockey,Silver
2252,33,Hockey Men's Hockey,Gold
2275,0,Basketball Men's Basketball,Silver
2293,6,Ice Hockey Men's Ice Hockey,Bronze
2294,22,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
2314,26,Sailing Mixed One Person Dinghy,Bronze
2315,5,Cross Country Skiing Men's 10 kilometres,Silver
2315,5,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
2315,6,Cross Country Skiing Men's 10 kilometres,Bronze
2315,6,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
2315,17,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
2321,2,Tennis Men's Doubles,Bronze
2325,1,Weightlifting Men's Super-Heavyweight,Bronze
2326,11,Football Men's Football,Silver
2330,25,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
2332,35,Water Polo Men's Water Polo,Silver
2335,3,Rugby Men's Rugby,Gold
2336,3,Sailing Mixed 1-2 Ton,Silver
2341,33,Football Men's Football,Bronze
2361,1,Handball Women's Handball,Bronze
2366,2,"Gymnastics Men's Team All-Around, Free System",Gold
2368,16,"Athletics Men's 10,000 metres",Bronze
2374,26,Rowing Men's Coxless Fours,Bronze
2378,19,"Wrestling Men's Lightweight, Greco-Roman",Gold
2386,14,Rowing Men's Coxless Fours,Bronze
2386,14,Rowing Men's Coxed Fours,Gold
2398,10,"Speed Skating Women's 1,000 metres",Bronze
2399,8,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
2401,35,Sailing Mixed Two Person Keelboat,Gold
2406,30,Figure Skating Women's Singles,Silver
2406,31,Figure Skating Women's Singles,Gold
2407,29,Athletics Men's High Jump,Silver
2409,33,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
2439,12,Football Men's Football,Bronze
2440,35,Boxing Men's Light-Welterweight,Silver
2440,36,Boxing Men's Welterweight,Gold
2456,2,"Cycling Men's Team Pursuit, 4,000 metres",Silver
2456,2,Cycling Men's 50 kilometres,Silver
2456,14,Cycling Men's 50 kilometres,Silver
2462,34,Athletics Men's 4 x 400 metres Relay,Gold
2465,9,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
2480,19,Hockey Men's Hockey,Silver
2482,19,Hockey Men's Hockey,Silver
2486,1,Sailing Women's Two Person Dinghy,Gold
2486,20,Sailing Women's Two Person Dinghy,Silver
2491,11,Athletics Men's Discus Throw,Gold
2491,21,Athletics Men's Discus Throw,Gold
2491,19,Athletics Men's Discus Throw,Bronze
2495,42,Ice Hockey Men's Ice Hockey,Gold
2505,36,Weightlifting Men's Middle-Heavyweight,Silver
2508,22,Ice Hockey Men's Ice Hockey,Bronze
2508,23,Ice Hockey Men's Ice Hockey,Gold
2508,39,Ice Hockey Men's Ice Hockey,Gold
2509,24,Bobsleigh Men's Two,Bronze
2517,35,Rowing Women's Coxed Quadruple Sculls,Silver
2517,36,Rowing Women's Double Sculls,Gold
2519,1,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
2519,20,"Wrestling Men's Heavyweight, Greco-Roman",Gold
2534,27,Weightlifting Men's Super-Heavyweight,Gold
2534,35,Weightlifting Men's Super-Heavyweight,Gold
2536,37,Diving Women's Platform,Bronze
2540,1,Water Polo Men's Water Polo,Bronze
2540,20,Water Polo Men's Water Polo,Gold
2569,12,Basketball Women's Basketball,Silver
2569,11,Basketball Women's Basketball,Bronze
2575,7,"Fencing Men's Foil, Team",Bronze
2576,7,Rowing Men's Coxless Fours,Silver
2582,1,Football Men's Football,Silver
2593,46,Lacrosse Men's Lacrosse,Silver
2598,12,Synchronized Swimming Women's Team,Silver
2599,33,"Fencing Men's epee, Team",Silver
2606,11,Rowing Women's Coxed Eights,Bronze
2612,25,Judo Men's Half-Lightweight,Bronze
2612,28,Judo Men's Lightweight,Gold
2615,19,Football Men's Football,Bronze
2615,1,Football Men's Football,Silver
2620,36,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
2622,27,Boxing Men's Heavyweight,Silver
2630,35,Diving Men's Platform,Bronze
2630,36,Diving Men's Platform,Silver
2631,11,"Shooting Men's Air Rifle, 10 metres",Bronze
2633,20,Taekwondo Men's Heavyweight,Silver
2642,35,Athletics Women's Long Jump,Bronze
2652,0,Football Men's Football,Gold
2659,25,Basketball Men's Basketball,Gold
2661,14,Football Men's Football,Bronze
2662,18,Ice Hockey Men's Ice Hockey,Gold
2662,15,Ice Hockey Men's Ice Hockey,Silver
2666,13,Sailing Mixed 12 metres,Bronze
2671,16,Basketball Men's Basketball,Bronze
2671,33,Basketball Men's Basketball,Bronze
2672,6,Ice Hockey Men's Ice Hockey,Gold
2674,1,"Equestrianism Mixed Three-Day Event, Individual",Silver
2717,25,Hockey Men's Hockey,Gold
2718,20,Athletics Women's 100 metres Hurdles,Silver
2722,34,Hockey Men's Hockey,Gold
2726,37,Hockey Men's Hockey,Gold
2738,2,Athletics Men's 4 x 100 metres Relay,Silver
2745,27,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
2746,46,"Fencing Men's epee, Individual",Gold
2746,46,"Fencing Men's epee, Team",Gold
2758,11,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
2758,21,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
2760,10,Biathlon Men's 10 kilometres Sprint,Silver
2760,10,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
2762,1,Handball Men's Handball,Bronze
2773,21,Football Women's Football,Silver
2778,21,Shooting Men's Trap,Gold
2778,19,Shooting Men's Trap,Bronze
2779,40,Gymnastics Men's Rope Climbing,Gold
2781,1,Beach Volleyball Men's Beach Volleyball,Silver
2781,20,Beach Volleyball Men's Beach Volleyball,Gold
2783,21,Athletics Men's 4 x 100 metres Relay,Bronze
2785,19,Rhythmic Gymnastics Women's Group,Gold
2792,20,Taekwondo Women's Featherweight,Bronze
2808,2,"Archery Men's Target Archery, 28 metres, Team",Silver
2808,2,"Archery Men's Target Archery, 33 metres, Team",Gold
2808,2,"Archery Men's Target Archery, 50 metres, Team",Gold
2809,5,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
2815,49,Alpine Skiing Men's Combined,Bronze
2817,11,Boxing Men's Light-Welterweight,Bronze
2822,25,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
2823,5,Freestyle Skiing Men's Moguls,Silver
2824,25,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
2824,28,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
2853,3,Football Men's Football,Silver
2856,27,Sailing Mixed Three Person Keelboat,Gold
2857,12,Baseball Men's Baseball,Bronze
2874,21,Triathlon Women's Olympic Distance,Gold
2875,11,Hockey Women's Hockey,Gold
2887,20,Athletics Men's 4 x 400 metres Relay,Silver
2889,11,Basketball Men's Basketball,Gold
2890,34,Hockey Men's Hockey,Gold
2890,7,Hockey Men's Hockey,Gold
2890,29,Hockey Men's Hockey,Gold
2895,23,Figure Skating Men's Singles,Bronze
2897,2,Polo Men's Polo,Bronze
2900,21,Rowing Men's Coxed Eights,Gold
2900,19,Rowing Men's Coxed Eights,Bronze
2901,11,Softball Women's Softball,Bronze
2901,21,Softball Women's Softball,Silver
2901,19,Softball Women's Softball,Bronze
2903,11,Modern Pentathlon Women's Individual,Bronze
2906,2,Sailing Mixed 12 metres,Gold
2908,13,"Rowing Men's Coxed Fours, Inriggers",Gold
2918,1,Athletics Men's 4 x 400 metres Relay,Bronze
2920,26,"Equestrianism Mixed Three-Day Event, Individual",Silver
2920,26,"Equestrianism Mixed Three-Day Event, Team",Gold
2936,29,Basketball Men's Basketball,Silver
2942,46,Hockey Men's Hockey,Silver
2944,2,"Fencing Men's epee, Team",Gold
2956,37,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
2957,21,Water Polo Women's Water Polo,Gold
2969,2,"Athletics Men's Cross-Country, Team",Bronze
2992,8,Ice Hockey Women's Ice Hockey,Bronze
